"employee_id","management_satisfaction","work_life_balance_satisfaction","work_environment_satisfaction","compensation_satisfaction"
"E00994","3","2","5","5"
"E00995","3","2","3","5"
"E00996","4","3","2","4"
"E00997","2","2","5","1"
"E00998","5","5","4","5"
"E00999","4","3","1","5"
"E01000","2","2","4","1"
"E01001","4","5","1","1"
"E01002","4","5","3","3"
"E01003","4","3","4","4"
"E01004","4","3","3","5"
"E01005","4","2","3","1"
"E01006","1","4","3","5"
"E01007","3","3","4","3"
"E01008","4","1","4","3"
"E01009","2","4","4","5"
"E01010","3","1","2","4"
"E01011","1","2","3","2"
"E01012","5","3","2","5"
"E01013","1","3","1","3"
"E01014","5","5","4","4"
"E01015","2","3","5","1"
"E01016","5","1","1","4"
"E01017","4","4","3","4"
"E01018","3","2","3","5"
"E01019","3","4","2","4"
"E01020","4","1","4","1"
"E01021","3","2","4","5"
"E01022","1","5","1","3"
"E01023","4","3","1","1"
"E01024","4","3","1","5"
"E01025","3","5","5","5"
"E01026","5","1","5","2"
"E01027","2","5","3","1"
"E01028","5","1","3","4"
"E01029","1","2","3","1"
"E01030","4","4","4","1"
"E01031","4","4","3","2"
"E01032","1","5","2","4"
"E01033","2","3","1","2"
"E01034","4","5","4","2"
"E01035","5","3","5","2"
"E01036","1","5","1","1"
"E01037","4","5","3","2"
"E01038","5","4","5","3"
"E01039","1","3","5","4"
"E01040","1","4","5","4"
"E01041","1","3","1","2"
"E01042","2","2","4","1"
"E01043","1","2","1","5"
"E01044","3","2","2","5"
"E01045","3","1","3","1"
"E01046","1","4","4","2"
"E01047","4","4","4","2"
"E01048","3","2","3","3"
"E01049","5","5","2","5"
"E01050","5","4","5","5"
"E01051","4","3","3","4"
"E01052","5","4","5","2"
"E01053","4","4","3","1"
"E01054","5","3","1","2"
"E01055","1","2","2","2"
"E01056","5","2","2","3"
"E01057","1","3","3","1"
"E01058","5","4","2","3"
"E01059","5","4","5","3"
"E01060","5","2","2","3"
"E01061","1","1","2","3"
"E01062","5","2","2","2"
"E01063","5","3","4","4"
"E01064","2","1","3","2"
"E01065","1","1","1","3"
"E01066","3","3","1","3"
"E01067","4","5","4","5"
"E01068","2","2","4","5"
"E01069","5","4","1","1"
"E01070","3","2","5","3"
"E01071","3","3","1","3"
"E01072","5","4","1","2"
"E01073","5","5","3","3"
"E01074","2","3","1","3"
"E01075","1","2","1","1"
"E01076","2","1","2","2"
"E01077","1","3","4","5"
"E01078","3","3","1","3"
"E01079","4","2","1","3"
"E01080","5","5","5","5"
"E01081","2","2","1","4"
"E01082","3","2","3","5"
"E01083","2","5","5","5"
"E01084","1","5","1","2"
"E01085","5","3","3","5"
"E01086","1","1","4","2"
"E01087","1","2","1","5"
"E01088","1","1","4","3"
"E01089","3","5","1","3"
"E01090","5","5","5","4"
"E01091","4","2","5","5"
"E01092","2","3","3","1"
"E01093","1","2","2","5"
"E01094","5","3","3","1"
"E01095","2","4","1","5"
"E01096","5","3","4","2"
"E01097","2","2","4","3"
"E01098","5","2","1","1"
"E01099","4","3","2","1"
"E01100","5","1","2","5"
"E01101","5","3","2","3"
"E01102","1","4","1","4"
"E01103","1","4","1","1"
"E01104","1","1","5","3"
"E01105","5","4","1","3"
"E01106","4","2","5","1"
"E01107","2","1","2","2"
"E01108","1","1","5","2"
"E01109","3","1","1","5"
"E01110","5","3","5","5"
"E01111","4","3","5","3"
"E01112","4","1","5","1"
"E01113","1","4","5","2"
"E01114","1","2","1","3"
"E01115","3","2","3","2"
"E01116","3","3","5","1"
"E01117","1","5","3","2"
"E01118","2","1","1","4"
"E01119","1","5","4","5"
"E01120","1","2","3","2"
"E01121","4","3","1","1"
"E01122","1","3","4","1"
"E01123","1","3","5","4"
"E01124","1","3","1","5"
"E01125","2","3","2","4"
"E01126","4","1","4","3"
"E01127","5","5","2","2"
"E01128","5","2","5","1"
"E01129","5","2","5","5"
"E01130","5","3","3","2"
"E01131","4","3","5","4"
"E01132","4","3","3","2"
"E01133","5","4","4","2"
"E01134","1","2","2","1"
"E01135","5","3","4","5"
"E01136","2","5","2","3"
"E01137","1","4","1","5"
"E01138","4","1","4","4"
"E01139","2","4","1","5"
"E01140","2","4","2","5"
"E01141","4","4","3","4"
"E01142","2","5","4","5"
"E01143","1","2","4","3"
"E01144","3","3","3","2"
"E01145","3","5","3","3"
"E01146","5","5","5","2"
"E01147","5","3","5","2"
"E01148","1","4","2","5"
"E01149","4","1","4","2"
"E01150","1","4","3","4"
"E01151","5","4","3","3"
"E01152","2","2","1","2"
"E01153","1","4","5","5"
"E01154","1","1","1","5"
"E01155","4","5","3","5"
"E01156","5","4","4","1"
"E01157","1","5","4","3"
"E01158","2","2","1","5"
"E01159","2","1","5","4"
"E01160","3","3","2","5"
"E01161","5","3","4","1"
"E01162","2","2","2","3"
"E01163","4","1","5","2"
"E01164","4","5","1","3"
"E01165","2","2","5","2"
"E01166","1","4","3","2"
"E01167","5","5","5","5"
"E01168","2","4","1","4"
"E01169","1","4","1","4"
"E01170","3","5","5","5"
"E01171","5","4","1","1"
"E01172","5","3","3","2"
"E01173","2","5","2","4"
"E01174","3","2","5","3"
"E01175","4","3","1","1"
"E01176","2","2","2","5"
"E01177","2","1","3","1"
"E01178","4","2","5","4"
"E01179","4","5","1","5"
"E01180","4","2","2","4"
"E01181","4","1","3","2"
"E01182","4","4","4","1"
"E01183","1","5","1","2"
"E01184","1","3","3","3"
"E01185","4","3","2","2"
"E01186","3","2","5","1"
"E01187","3","3","2","3"
"E01188","4","1","5","4"
"E01189","1","3","3","3"
"E01190","3","2","3","1"
"E01191","1","3","2","5"
"E01192","2","4","2","3"
"E01193","1","4","5","4"
"E01194","4","3","1","3"
"E01195","5","5","2","2"
"E01196","4","3","1","5"
"E01197","2","4","1","1"
"E01198","1","4","1","5"
"E01199","3","1","3","2"
"E01200","4","2","3","5"
"E01201","3","1","1","2"
"E01202","1","5","1","3"
"E01203","2","2","3","1"
"E01204","4","3","5","2"
"E01205","3","3","4","2"
"E01206","4","5","2","3"
"E01207","4","4","1","2"
"E01208","3","3","3","1"
"E01209","2","1","1","4"
"E01210","4","4","1","5"
"E01211","2","3","1","2"
"E01212","2","4","1","5"
"E01213","1","2","5","5"
"E01214","3","3","2","4"
"E01215","1","3","2","2"
"E01216","5","4","3","1"
"E01217","1","2","5","2"
"E01218","4","1","5","5"
"E01219","4","2","2","3"
"E01220","4","1","3","4"
"E01221","5","5","5","1"
"E01222","2","2","3","1"
"E01223","4","1","2","5"
"E01224","1","4","1","1"
"E01225","2","1","5","5"
"E01226","1","5","3","1"
"E01227","1","1","1","1"
"E01228","4","2","2","5"
"E01229","1","1","4","4"
"E01230","5","2","5","1"
"E01231","2","5","5","2"
"E01232","4","1","3","3"
"E01233","4","1","2","5"
"E01234","1","5","2","1"
"E01235","1","1","5","4"
"E01236","3","2","5","2"
"E01237","3","3","3","5"
"E01238","4","3","3","2"
"E01239","4","2","4","3"
"E01240","1","1","1","4"
"E01241","5","2","3","5"
"E01242","5","5","1","5"
"E01243","1","2","5","1"
"E01244","3","3","4","2"
"E01245","3","4","4","5"
"E01246","5","5","4","2"
"E01247","4","1","2","3"
"E01248","1","2","5","1"
"E01249","4","5","2","3"
"E01250","3","3","2","1"
"E01251","5","1","4","1"
"E01252","4","2","2","2"
"E01253","3","2","5","1"
"E01254","3","1","5","3"
"E01255","3","4","2","3"
"E01256","4","4","5","3"
"E01257","2","5","1","2"
"E01258","5","2","2","2"
"E01259","3","5","4","4"
"E01260","4","1","4","5"
"E01261","1","5","5","4"
"E01262","5","2","5","4"
"E01263","1","4","4","1"
"E01264","1","4","1","1"
"E01265","4","1","4","4"
"E01266","2","3","2","5"
"E01267","4","5","4","4"
"E01268","4","1","3","2"
"E01269","5","4","1","3"
"E01270","4","2","1","4"
"E01271","5","2","4","1"
"E01272","3","3","3","5"
"E01273","5","3","2","1"
"E01274","4","4","4","2"
"E01275","3","3","2","1"
"E01276","3","3","3","1"
"E01277","2","2","4","5"
"E01278","4","5","4","5"
"E01279","1","2","2","1"
"E01280","4","2","4","1"
"E01281","1","4","3","4"
"E01282","2","4","4","2"
"E01283","4","5","5","4"
"E01284","2","1","3","5"
"E01285","1","3","1","4"
"E01286","5","3","2","4"
"E01287","4","2","3","1"
"E01288","3","2","1","1"
"E01289","3","5","1","2"
"E01290","2","3","3","3"
"E01291","5","2","1","3"
"E01292","3","2","1","4"
"E01293","3","4","5","2"
"E01294","4","1","4","2"
"E01295","3","5","5","5"
"E01296","1","1","4","1"
"E01297","2","1","1","5"
"E01298","3","5","4","3"
"E01299","4","3","5","2"
"E01300","1","2","2","3"
"E01301","3","5","2","1"
"E01302","2","2","4","1"
"E01303","2","4","2","1"
"E01304","2","1","1","3"
"E01305","3","4","2","2"
"E01306","1","1","4","5"
"E01307","5","3","1","2"
"E01308","2","5","5","2"
"E01309","1","3","2","4"
"E01310","4","1","4","2"
"E01311","4","4","5","5"
"E01312","1","1","3","4"
"E01313","4","3","1","2"
"E01314","4","3","5","4"
"E01315","2","4","5","2"
"E01316","3","4","4","1"
"E01317","3","3","3","1"
"E01318","3","1","2","2"
"E01319","3","1","3","4"
"E01320","1","5","1","5"
"E01321","2","3","2","1"
"E01322","1","5","3","4"
"E01323","4","3","1","5"
"E01324","2","5","5","4"
"E01325","5","2","5","2"
"E01326","4","1","5","1"
"E01327","4","1","5","1"
"E01328","3","2","2","1"
"E01329","3","4","5","2"
"E01330","3","2","2","5"
"E01331","5","1","2","5"
"E01332","4","3","3","1"
"E01333","3","5","5","5"
"E01334","3","1","4","1"
"E01335","2","2","5","5"
"E01336","3","3","4","1"
"E01337","2","1","5","5"
"E01338","4","2","2","4"
"E01339","4","1","5","1"
"E01340","4","2","5","1"
"E01341","2","2","5","3"
"E01342","5","1","5","1"
"E01343","5","2","3","5"
"E01344","3","1","3","4"
"E01345","4","1","2","4"
"E01346","1","3","2","5"
"E01347","3","1","4","2"
"E01348","5","5","2","1"
"E01349","5","5","3","4"
"E01350","4","5","2","5"
"E01351","2","2","4","4"
"E01352","3","4","4","4"
"E01353","2","1","3","5"
"E01354","5","4","2","3"
"E01355","4","2","4","4"
"E01356","5","3","2","4"
"E01357","4","5","2","2"
"E01358","1","1","3","3"
"E01359","2","4","3","2"
"E01360","3","4","2","5"
"E01361","4","2","5","1"
"E01362","1","3","5","5"
"E01363","1","5","1","5"
"E01364","2","3","1","5"
"E01365","4","1","1","3"
"E01366","3","2","3","2"
"E01367","3","5","2","4"
"E01368","3","1","4","5"
"E01369","5","3","2","5"
"E01370","5","2","2","4"
"E01371","4","5","1","5"
"E01372","3","3","2","5"
"E01373","1","5","1","1"
"E01374","3","2","2","1"
"E01375","4","2","4","4"
"E01376","3","3","5","2"
"E01377","2","5","5","5"
"E01378","3","4","3","5"
"E01379","1","1","4","2"
"E01380","4","2","2","5"
"E01381","4","5","4","2"
"E01382","1","3","2","4"
"E01383","4","3","4","4"
"E01384","3","2","4","2"
"E01385","4","2","5","2"
"E01386","3","4","4","3"
"E01387","4","3","3","1"
"E01388","3","5","2","1"
"E01389","3","1","1","5"
"E01390","1","1","4","5"
"E01391","1","4","1","2"
"E01392","5","5","5","2"
"E01393","1","1","1","1"
"E01394","3","1","3","5"
"E01395","3","5","3","1"
"E01396","4","5","5","4"
"E01397","4","2","3","1"
"E01398","5","1","2","1"
"E01399","4","1","3","2"
"E01400","5","4","4","5"
"E01401","3","2","3","4"
"E01402","1","2","2","1"
"E01403","4","1","5","1"
"E01404","5","3","3","2"
"E01405","2","3","2","3"
"E01406","3","5","4","5"
"E01407","1","2","1","5"
"E01408","2","1","1","5"
"E01409","1","1","5","1"
"E01410","1","1","5","1"
"E01411","3","2","1","1"
"E01412","1","3","1","3"
"E01413","5","4","5","1"
"E01414","2","1","1","5"
"E01415","1","1","3","5"
"E01416","1","2","2","2"
"E01417","4","2","5","3"
"E01418","4","3","2","4"
"E01419","5","5","4","1"
"E01420","4","1","4","4"
"E01421","1","2","3","1"
"E01422","1","3","4","3"
"E01423","2","4","5","3"
"E01424","4","2","3","5"
"E01425","3","5","3","3"
"E01426","4","3","5","4"
"E01427","1","5","1","4"
"E01428","2","1","2","3"
"E01429","4","3","5","4"
"E01430","2","2","1","1"
"E01431","4","5","1","2"
"E01432","5","4","4","5"
"E01433","1","4","3","2"
"E01434","1","5","3","4"
"E01435","3","1","4","5"
"E01436","1","1","4","2"
"E01437","3","1","3","2"
"E01438","1","4","5","4"
"E01439","4","4","5","5"
"E01440","4","2","5","5"
"E01441","5","1","5","2"
"E01442","4","4","4","5"
"E01443","2","4","2","5"
"E01444","4","1","2","1"
"E01445","3","1","3","4"
"E01446","5","4","2","4"
"E01447","2","5","5","1"
"E01448","2","4","4","2"
"E01449","1","2","5","3"
"E01450","3","3","1","2"
"E01451","4","1","4","1"
"E01452","4","2","1","5"
"E01453","1","5","1","1"
"E01454","4","3","3","4"
"E01455","2","4","1","5"
"E01456","4","1","2","2"
"E01457","4","4","2","5"
"E01458","2","2","1","4"
"E01459","3","1","3","1"
"E01460","3","4","1","2"
"E01461","2","1","4","3"
"E01462","2","2","4","3"
"E01463","5","4","4","1"
"E01464","5","3","4","2"
"E01465","4","5","1","5"
"E01466","4","4","5","5"
"E01467","5","1","5","1"
"E01468","4","4","4","5"
"E01469","3","1","3","1"
"E01470","3","2","3","4"
"E01471","1","5","1","1"
"E01472","5","1","5","5"
"E01473","3","4","1","2"
"E01474","1","2","2","1"
"E01475","2","3","4","2"
"E01476","3","4","2","4"
"E01477","1","5","2","3"
"E01478","4","2","3","3"
"E01479","1","4","5","5"
"E01480","3","1","4","1"
"E01481","4","1","1","4"
"E01482","4","1","4","4"
"E01483","1","4","1","2"
"E01484","1","5","1","5"
"E01485","3","1","5","4"
"E01486","4","4","2","1"
"E01487","5","4","1","4"
"E01488","1","5","5","3"
"E01489","5","2","2","5"
"E01490","5","2","2","2"
"E01491","4","4","4","1"
"E01492","3","2","4","3"
"E01493","5","3","4","4"
"E01494","3","5","3","5"
"E01495","1","4","2","5"
"E01496","4","2","3","1"
"E01497","2","2","4","2"
"E01498","4","5","5","3"
"E01499","2","1","4","2"
"E01500","1","2","1","1"
"E01501","3","5","5","1"
"E01502","1","1","5","3"
"E01503","4","4","2","5"
"E01504","2","1","3","5"
"E01505","2","2","1","3"
"E01506","4","4","5","2"
"E01507","4","4","3","3"
"E01508","1","1","3","5"
"E01509","5","4","1","2"
"E01510","2","1","1","4"
"E01511","4","1","4","2"
"E01512","1","1","4","5"
"E01513","5","5","5","1"
"E01514","3","2","5","2"
"E01515","4","4","5","2"
"E01516","5","3","4","1"
"E01517","3","2","5","5"
"E01518","3","3","5","4"
"E01519","1","1","4","4"
"E01520","2","4","4","3"
"E01521","4","2","5","4"
"E01522","5","3","5","4"
"E01523","3","3","3","2"
"E01524","2","3","2","3"
"E01525","3","2","4","4"
"E01526","4","5","2","2"
"E01527","4","1","4","3"
"E01528","1","4","3","2"
"E01529","4","3","2","1"
"E01530","4","2","3","5"
"E01531","4","3","1","5"
"E01532","2","2","2","5"
"E01533","5","5","2","4"
"E01534","5","3","2","5"
"E01535","4","3","1","5"
"E01536","5","4","1","3"
"E01537","4","2","3","3"
"E01538","5","2","1","3"
"E01539","5","5","4","4"
"E01540","3","3","5","5"
"E01541","2","4","2","4"
"E01542","3","1","3","4"
"E01543","3","4","3","4"
"E01544","5","4","3","4"
"E01545","1","4","3","4"
"E01546","1","4","2","4"
"E01547","2","3","3","5"
"E01548","4","4","2","3"
"E01549","5","2","3","2"
"E01550","2","2","3","2"
"E01551","3","4","5","2"
"E01552","5","2","4","1"
"E01553","3","3","1","3"
"E01554","2","1","1","5"
"E01555","1","4","1","4"
"E01556","2","2","4","2"
"E01557","5","2","2","3"
"E01558","5","3","1","5"
"E01559","4","3","1","2"
"E01560","1","1","1","3"
"E01561","5","5","2","5"
"E01562","1","5","4","3"
"E01563","5","5","4","4"
"E01564","1","1","2","3"
"E01565","2","4","5","3"
"E01566","1","5","3","1"
"E01567","3","5","2","4"
"E01568","2","2","3","3"
"E01569","5","2","4","4"
"E01570","5","4","3","3"
"E01571","4","3","1","4"
"E01572","3","1","3","5"
"E01573","4","5","3","5"
"E01574","2","1","4","1"
"E01575","4","2","5","2"
"E01576","2","1","3","3"
"E01577","4","2","4","3"
"E01578","1","1","1","5"
"E01579","2","2","3","3"
"E01580","2","1","3","4"
"E01581","1","5","1","2"
"E01582","1","5","2","3"
"E01583","3","4","5","5"
"E01584","1","1","1","1"
"E01585","4","3","1","2"
"E01586","1","4","1","5"
"E01587","1","1","2","5"
"E01588","2","3","1","2"
"E01589","2","5","2","5"
"E01590","1","5","5","1"
"E01591","3","5","2","1"
"E01592","2","3","5","3"
"E01593","4","2","5","4"
"E01594","4","1","5","3"
"E01595","1","4","4","4"
"E01596","1","4","5","2"
"E01597","3","5","2","5"
"E01598","1","2","4","3"
"E01599","5","1","1","5"
"E01600","5","1","1","3"
"E01601","1","4","3","3"
"E01602","5","4","5","1"
"E01603","4","4","3","4"
"E01604","1","1","5","2"
"E01605","4","4","5","5"
"E01606","4","1","2","3"
"E01607","5","5","2","5"
"E01608","3","2","1","1"
"E01609","4","4","4","2"
"E01610","5","1","1","4"
"E01611","3","5","5","4"
"E01612","5","3","4","3"
"E01613","5","5","3","2"
"E01614","1","2","5","4"
"E01615","2","5","2","2"
"E01616","3","4","1","5"
"E01617","5","4","1","1"
"E01618","4","3","3","2"
"E01619","4","1","1","2"
"E01620","2","5","1","4"
"E01621","3","3","4","3"
"E01622","1","4","1","3"
"E01623","3","1","4","5"
"E01624","4","1","4","4"
"E01625","4","2","1","4"
"E01626","1","4","5","1"
"E01627","1","1","1","3"
"E01628","4","2","1","4"
"E01629","5","2","4","5"
"E01630","5","4","1","1"
"E01631","1","1","2","3"
"E01632","5","1","4","3"
"E01633","1","5","4","3"
"E01634","3","1","1","1"
"E01635","3","2","5","5"
"E01636","3","3","1","5"
"E01637","1","4","1","4"
"E01638","1","3","3","4"
"E01639","5","1","1","3"
"E01640","5","2","5","2"
"E01641","5","3","1","4"
"E01642","2","4","4","5"
"E01643","1","5","5","3"
"E01644","3","3","4","5"
"E01645","3","5","3","3"
"E01646","2","1","3","1"
"E01647","2","1","5","4"
"E01648","3","4","2","1"
"E01649","1","5","2","4"
"E01650","3","5","5","5"
"E01651","3","4","5","5"
"E01652","2","3","4","2"
"E01653","2","4","3","5"
"E01654","5","1","5","3"
"E01655","2","5","1","2"
"E01656","3","2","4","3"
"E01657","5","2","3","2"
"E01658","3","1","4","3"
"E01659","1","5","3","2"
"E01660","1","5","1","4"
"E01661","2","4","3","4"
"E01662","5","3","4","2"
"E01663","4","4","3","1"
"E01664","1","2","4","2"
"E01665","1","5","5","1"
"E01666","1","3","1","3"
"E01667","1","4","4","5"
"E01668","2","3","2","1"
"E01669","5","2","2","2"
"E01670","1","3","3","4"
"E01671","2","5","5","4"
"E01672","4","3","5","2"
"E01673","5","3","2","2"
"E01674","4","4","3","5"
"E01675","3","3","5","4"
"E01676","1","3","5","3"
"E01677","2","2","3","2"
"E01678","5","3","4","5"
"E01679","4","4","2","2"
"E01680","3","4","5","4"
"E01681","5","5","4","1"
"E01682","5","2","4","1"
"E01683","1","1","4","4"
"E01684","3","5","4","3"
"E01685","3","3","1","5"
"E01686","2","2","1","2"
"E01687","4","5","3","2"
"E01688","2","4","2","2"
"E01689","4","2","3","5"
"E01690","2","2","1","5"
"E01691","4","3","3","4"
"E01692","1","2","3","5"
"E01693","4","2","4","2"
"E01694","2","1","5","2"
"E01695","3","3","1","5"
"E01696","5","2","1","5"
"E01697","4","2","3","4"
"E01698","4","1","5","1"
"E01699","3","1","3","5"
"E01700","1","4","2","1"
"E01701","2","3","1","3"
"E01702","1","1","4","1"
"E01703","4","2","4","5"
"E01704","4","1","4","2"
"E01705","1","5","1","2"
"E01706","2","4","1","5"
"E01707","4","4","4","4"
"E01708","4","3","1","5"
"E01709","1","4","4","5"
"E01710","5","3","2","4"
"E01711","3","5","2","4"
"E01712","4","2","2","3"
"E01713","2","5","3","3"
"E01714","5","3","3","3"
"E01715","4","3","5","4"
"E01716","1","3","5","1"
"E01717","2","2","5","5"
"E01718","5","3","2","3"
"E01719","4","5","2","1"
"E01720","4","2","2","5"
"E01721","5","5","1","1"
"E01722","3","2","1","2"
"E01723","3","3","2","2"
"E01724","2","2","4","5"
"E01725","3","1","5","1"
"E01726","2","5","3","1"
"E01727","4","1","5","4"
"E01728","4","1","4","3"
"E01729","2","3","1","5"
"E01730","4","3","2","1"
"E01731","3","1","1","3"
"E01732","4","2","1","5"
"E01733","3","3","4","1"
"E01734","3","5","1","2"
"E01735","1","1","1","1"
"E01736","4","5","5","2"
"E01737","4","5","5","2"
"E01738","2","5","4","4"
"E01739","2","1","2","4"
"E01740","5","4","5","3"
"E01741","3","3","1","5"
"E01742","1","5","3","3"
"E01743","3","1","5","4"
"E01744","4","4","3","3"
"E01745","5","1","2","5"
"E01746","3","3","1","5"
"E01747","5","1","5","1"
"E01748","3","2","2","3"
"E01749","4","2","4","4"
"E01750","4","5","2","1"
"E01751","3","1","4","3"
"E01752","1","1","4","5"
"E01753","4","5","5","4"
"E01754","2","5","3","3"
"E01755","1","4","4","5"
"E01756","3","1","1","5"
"E01757","1","3","5","3"
"E01758","2","3","4","3"
"E01759","4","3","5","4"
"E01760","4","5","1","1"
"E01761","4","5","5","5"
"E01762","2","5","5","1"
"E01763","1","3","4","1"
"E01764","3","4","2","5"
"E01765","3","2","5","3"
"E01766","1","1","4","5"
"E01767","4","2","1","1"
"E01768","3","1","1","4"
"E01769","4","5","2","5"
"E01770","5","3","1","4"
"E01771","5","2","4","3"
"E01772","3","5","2","3"
"E01773","1","1","4","4"
"E01774","1","2","2","4"
"E01775","1","2","2","5"
"E01776","4","2","4","3"
"E01777","5","2","2","4"
"E01778","4","2","4","2"
"E01779","2","5","1","5"
"E01780","2","1","1","5"
"E01781","3","1","5","2"
"E01782","2","4","3","3"
"E01783","1","3","3","4"
"E01784","3","2","1","4"
"E01785","5","1","5","3"
"E01786","5","3","3","2"
"E01787","2","3","4","2"
"E01788","2","5","4","2"
"E01789","5","2","2","5"
"E01790","2","4","3","4"
"E01791","2","3","4","1"
"E01792","4","5","3","5"
"E01793","5","2","2","5"
"E01794","5","1","1","4"
"E01795","2","4","5","3"
"E01796","1","2","2","4"
"E01797","4","5","2","3"
"E01798","1","5","2","4"
"E01799","2","5","5","5"
"E01800","5","5","4","2"
"E01801","1","5","3","5"
"E01802","3","4","1","5"
"E01803","1","3","1","1"
"E01804","5","3","5","5"
"E01805","2","1","1","5"
"E01806","1","3","5","5"
"E01807","2","5","5","1"
"E01808","4","3","3","3"
"E01809","3","3","3","1"
"E01810","5","5","5","2"
"E01811","5","4","3","3"
"E01812","2","5","4","1"
"E01813","3","3","2","2"
"E01814","5","3","1","2"
"E01815","1","1","1","4"
"E01816","5","5","1","4"
"E01817","1","1","1","5"
"E01818","5","1","4","3"
"E01819","1","2","4","1"
"E01820","4","1","2","5"
"E01821","2","3","5","3"
"E01822","4","3","3","4"
"E01823","1","2","2","1"
"E01824","2","2","1","2"
"E01825","3","5","3","2"
"E01826","1","2","2","5"
"E01827","5","4","1","5"
"E01828","5","3","2","1"
"E01829","3","3","1","2"
"E01830","4","2","1","5"
"E01831","1","2","4","2"
"E01832","5","3","1","4"
"E01833","2","2","2","5"
"E01834","3","5","3","3"
"E01835","4","2","4","5"
"E01836","4","2","3","4"
"E01837","2","5","5","1"
"E01838","2","5","3","2"
"E01839","3","5","5","1"
"E01840","2","3","5","5"
"E01841","5","2","4","3"
"E01842","4","5","3","1"
"E01843","2","5","1","3"
"E01844","1","3","4","5"
"E01845","2","4","4","3"
"E01846","4","2","1","3"
"E01847","5","4","3","4"
"E01848","2","4","4","1"
"E01849","5","5","5","5"
"E01850","1","3","1","4"
"E01851","4","2","2","3"
"E01852","3","2","4","4"
"E01853","4","2","5","4"
"E01854","3","4","3","3"
"E01855","3","1","3","5"
"E01856","4","3","1","2"
"E01857","3","1","5","4"
"E01858","5","4","1","1"
"E01859","1","5","4","3"
"E01860","2","1","1","2"
"E01861","3","1","2","4"
"E01862","3","3","1","3"
"E01863","4","4","1","3"
"E01864","5","3","4","4"
"E01865","2","5","5","1"
"E01866","3","2","2","3"
"E01867","5","4","1","3"
"E01868","2","5","4","4"
"E01869","4","5","4","2"
"E01870","3","1","4","3"
"E01871","4","3","5","3"
"E01872","4","1","1","4"
"E01873","3","1","3","3"
"E01874","5","2","2","4"
"E01875","5","3","3","1"
"E01876","4","2","5","4"
"E01877","4","5","1","2"
"E01878","1","2","3","3"
"E01879","2","5","3","1"
"E01880","4","1","3","3"
"E01881","4","2","2","3"
"E01882","2","2","1","4"
"E01883","3","2","4","3"
"E01884","5","5","1","1"
"E01885","3","4","3","5"
"E01886","2","3","1","5"
"E01887","2","5","4","4"
"E01888","1","4","2","2"
"E01889","1","3","1","3"
"E01890","5","4","1","4"
"E01891","4","1","2","3"
"E01892","2","1","2","5"
"E01893","1","2","3","5"
"E01894","3","2","3","1"
"E01895","1","2","2","5"
"E01896","3","2","4","4"
"E01897","1","4","3","5"
"E01898","3","3","4","4"
"E01899","1","3","2","3"
"E01900","1","2","1","1"
"E01901","5","1","2","1"
"E01902","4","5","2","5"
"E01903","2","2","5","2"
"E01904","4","2","2","5"
"E01905","5","1","3","2"
"E01906","3","5","1","5"
"E01907","4","4","4","4"
"E01908","2","4","5","4"
"E01909","2","5","3","2"
"E01910","3","5","1","5"
"E01911","2","4","4","2"
"E01912","5","2","1","3"
"E01913","4","2","3","1"
"E01914","2","1","1","2"
"E01915","4","5","2","3"
"E01916","1","2","1","3"
"E01917","4","2","2","5"
"E01918","3","1","3","2"
"E01919","5","5","5","4"
"E01920","2","1","2","5"
"E01921","5","1","1","1"
"E01922","4","4","1","4"
"E01923","2","1","1","3"
"E01924","5","5","3","1"
"E01925","3","2","4","5"
"E01926","1","2","1","3"
"E01927","1","4","1","3"
"E01928","3","5","2","3"
"E01929","1","2","5","4"
"E01930","3","1","1","5"
"E01931","4","3","3","5"
"E01932","3","3","4","4"
"E01933","1","3","4","5"
"E01934","4","3","4","3"
"E01935","3","1","3","3"
"E01936","3","2","4","3"
"E01937","4","4","4","5"
"E01938","2","1","2","2"
"E01939","1","2","4","1"
"E01940","2","5","2","2"
"E01941","4","2","2","4"
"E01942","4","2","2","2"
"E01943","5","2","3","2"
"E01944","5","1","1","4"
"E01945","4","2","5","2"
"E01946","5","2","4","1"
"E01947","3","5","5","5"
"E01948","2","5","1","4"
"E01949","4","3","2","2"
"E01950","3","1","2","3"
"E01951","1","2","2","3"
"E01952","1","3","2","4"
"E01953","5","3","4","3"
"E01954","5","1","1","1"
"E01955","3","3","1","2"
"E01956","1","3","1","1"
"E01957","4","1","5","1"
"E01958","2","4","2","5"
"E01959","5","3","3","2"
"E01960","3","5","1","4"
"E01961","5","3","5","3"
"E01962","3","1","4","5"
"E01963","1","1","2","1"
"E01964","5","4","5","3"
"E01965","3","4","3","2"
"E01966","3","5","3","1"
"E01967","5","5","4","1"
"E01968","2","3","1","2"
"E01969","4","4","1","4"
"E01970","1","5","5","5"
"E01971","5","3","5","2"
"E01972","5","2","1","3"
"E01973","2","3","1","3"
"E01974","1","5","5","1"
"E01975","5","3","2","5"
"E01976","2","2","3","4"
"E01977","4","5","3","4"
"E01978","3","3","4","3"
"E01979","4","5","3","4"
"E01980","4","3","5","3"
"E01981","4","1","2","5"
"E01982","4","5","5","1"
"E01983","3","5","1","3"
"E01984","1","5","1","5"
"E01985","1","5","3","3"
"E01986","2","3","2","2"
"E01987","2","4","4","3"
"E01988","5","3","5","5"
"E01989","4","2","4","4"
